,ID,Submit datetime,Smiles,PDSC,valid,stable,mass,atoms,soluble
0,1196,2025-04-12 09:36:20,Cc1ccc(Nc2ccccc2)cc1,4.176326236941864,1,1,1,1,1
1,1198,2025-04-12 09:38:50,CCCCC(CC)COC(=O)CNc1cccc(OC)c1OC,4.509600827947279,1,1,1,1,1
2,1200,2025-04-12 09:43:20,C=Cc1ccc(-c2cc[nH]c2)cc1,0,0,1,1,1,1
3,1202,2025-04-12 09:45:27,CCCCC(CC)COC(=O)CNc1cccc(OC)c1OC,4.509600827947279,1,1,1,1,1
4,1203,2025-04-12 09:45:27,CCCCCCCCCCCCN(C)Cc1cccc(NCC(O)c2ccc(OC)cc2)c1,18.820231633350694,1,1,1,1,1
5,1204,2025-04-12 09:45:27,CCNc1ccc(CN(C)CCOCCOC)cc1C,3.8456437002655344,1,1,1,1,1
6,1205,2025-04-12 09:45:27,CCCN(CCC)CC(O)CNCc1ccc(-c2ccc(N(CC)CC)cc2)nc1,0,0,1,1,1,1
7,1206,2025-04-12 09:45:27,CCCCN(CCC)c1cc(CN(CCO)CCOC)cc(Nc2ccc(C)cc2)c1,28.60285020542961,1,1,1,1,1
8,1207,2025-04-12 09:45:27,CCOc1cc(C)c(CNCc2ccc(N(CC)CC)cc2)c(C)c1OCCNCC,0,0,1,1,1,1
9,1208,2025-04-12 09:45:27,CCc1ccc(N(C)CCC(=O)NCCCOC(C)C)cc1,0,0,1,1,1,1
10,1209,2025-04-12 09:45:27,CCc1ccc(N(CCO)CCOCc2cccc(CNC)c2)cc1,0,0,1,1,1,1
11,1210,2025-04-12 09:45:27,CCCCCCN(CCN(CC(C)C)CCC)c1ccc(Nc2n[nH]c(C)c2C)cc1,50.025877498863366,1,1,1,1,1
12,1211,2025-04-12 09:45:27,CCc1cccc(CC)c1NCC(O)CN(C)Cc1ccc(OC)cc1,15.615974375255645,1,1,1,1,1
13,1213,2025-04-12 09:50:15,CCCCCCC(O)CN(CC(O)c1ccccc1)Cc1ccc(N(CC)CC)cc1,0,0,1,1,1,1
14,1214,2025-04-12 09:50:15,CCCCCCCCCCCCN(CCO)c1ccc(NCc2ccc(N(C)C)cc2)cc1,57.87539757723651,1,1,1,1,1
15,1215,2025-04-12 09:50:15,CCCN(CCC)c1nc2ccccc2nc1NCCCN(CCC)CCCC,45.81973556738617,1,1,1,1,1
16,1216,2025-04-12 09:50:15,CCNC(=NCC(CC)(CC)CC)NCc1ccc(N(C)Cc2ccco2)cc1,0,0,1,1,1,1
