property,input_value
BalabanJ,2.67995358002865
BertzCT,2650.4377597866264
Chi0,56.856406460551
Chi0n,50.57770876399967
Chi0v,50.57770876399967
Chi1,31.50555349946512
Chi1n,26.038854381999833
Chi1v,26.038854381999833
Chi2n,31.288854381999837
Chi2v,31.288854381999837
Chi3n,14.038854381999837
Chi3v,14.038854381999837
Chi4n,11.658281572999757
Chi4v,11.658281572999757
ExactMolWt,994.726170096
FpDensityMorgan1,0.1388888888888889
FpDensityMorgan2,0.2638888888888889
FpDensityMorgan3,0.4027777777777778
FractionCSP3,0.625
HallKierAlpha,-4.72
HeavyAtomCount,72.0
HeavyAtomMolWt,896.6959999999997
Kappa1,59.83943394484506
Kappa2,17.435020323701714
Kappa3,10.117329598689867
LabuteASA,435.5542403311215
MaxAbsEStateIndex,13.59192624204158
MaxEStateIndex,13.59192624204158
MinAbsEStateIndex,0.014957741973434802
MinEStateIndex,-0.9672776277857307
MolLogP,17.307399999999962
MolMR,303.0683999999998
MolWt,995.4799999999997
NHOHCount,8.0
NOCount,8.0
NumAliphaticCarbocycles,0.0
NumAliphaticHeterocycles,0.0
NumAliphaticRings,0.0
NumAromaticCarbocycles,4.0
NumAromaticHeterocycles,0.0
NumAromaticRings,4.0
NumHAcceptors,8.0
NumHDonors,8.0
NumHeteroatoms,8.0
NumRadicalElectrons,0.0
NumRotatableBonds,3.0
NumSaturatedCarbocycles,0.0
NumSaturatedHeterocycles,0.0
NumSaturatedRings,0.0
NumValenceElectrons,402.0
RingCount,4.0
TPSA,161.84
QED,0.10062663920810383
