property,input_value
BalabanJ,0.7738466036855575
BertzCT,3056.7087490637864
Chi0,44.98597716963362
Chi0n,37.91995674298491
Chi0v,37.91995674298491
Chi1,32.36084091684609
Chi1n,23.62455813830461
Chi1v,23.62455813830461
Chi2n,17.969986669211835
Chi2v,17.969986669211835
Chi3n,13.584995627885187
Chi3v,13.584995627885187
Chi4n,9.800851970295033
Chi4v,9.800851970295033
ExactMolWt,873.4617907480001
FpDensityMorgan1,0.7121212121212122
FpDensityMorgan2,1.393939393939394
FpDensityMorgan3,2.1666666666666665
FractionCSP3,0.2413793103448276
HallKierAlpha,-7.159999999999997
HeavyAtomCount,66.0
HeavyAtomMolWt,814.6699999999996
Kappa1,42.77180263216448
Kappa2,19.12806105497998
Kappa3,9.194236663647871
LabuteASA,387.16442928370367
MaxAbsEStateIndex,11.388556095689335
MaxEStateIndex,11.388556095689335
MinAbsEStateIndex,0.1451709344571912
MinEStateIndex,-0.7523101952584705
MolLogP,13.889499999999975
MolMR,274.6145999999996
MolWt,874.1419999999996
NHOHCount,5.0
NOCount,8.0
NumAliphaticCarbocycles,1.0
NumAliphaticHeterocycles,0.0
NumAliphaticRings,1.0
NumAromaticCarbocycles,7.0
NumAromaticHeterocycles,2.0
NumAromaticRings,9.0
NumHAcceptors,7.0
NumHDonors,4.0
NumHeteroatoms,8.0
NumRadicalElectrons,0.0
NumRotatableBonds,17.0
NumSaturatedCarbocycles,1.0
NumSaturatedHeterocycles,0.0
NumSaturatedRings,1.0
NumValenceElectrons,334.0
RingCount,10.0
TPSA,100.7
QED,0.06801266179043883
