property,input_value
BalabanJ,0.7566540284229923
BertzCT,3435.133679348436
Chi0,48.80596812594253
Chi0n,40.84318681467784
Chi0v,40.84318681467784
Chi1,35.327968749834284
Chi1n,25.262262077888685
Chi1v,25.262262077888685
Chi2n,19.172777263811312
Chi2v,19.172777263811312
Chi3n,13.84985023546966
Chi3v,13.84985023546966
Chi4n,9.877245111686578
Chi4v,9.877245111686578
ExactMolWt,948.4951565399998
FpDensityMorgan1,0.5555555555555556
FpDensityMorgan2,1.2083333333333333
FpDensityMorgan3,1.9444444444444444
FractionCSP3,0.21311475409836064
HallKierAlpha,-8.119999999999997
HeavyAtomCount,72.0
HeavyAtomMolWt,888.7399999999993
Kappa1,46.273910258195386
Kappa2,21.07755604808348
Kappa3,10.777253125777927
LabuteASA,420.22340321148494
MaxAbsEStateIndex,10.99187865499578
MaxEStateIndex,10.99187865499578
MinAbsEStateIndex,0.3186141693683464
MinEStateIndex,-0.628159713416363
MolLogP,12.752739999999985
MolMR,295.149
MolWt,949.2199999999998
NHOHCount,7.0
NOCount,11.0
NumAliphaticCarbocycles,1.0
NumAliphaticHeterocycles,0.0
NumAliphaticRings,1.0
NumAromaticCarbocycles,7.0
NumAromaticHeterocycles,3.0
NumAromaticRings,10.0
NumHAcceptors,9.0
NumHDonors,7.0
NumHeteroatoms,11.0
NumRadicalElectrons,0.0
NumRotatableBonds,18.0
NumSaturatedCarbocycles,1.0
NumSaturatedHeterocycles,0.0
NumSaturatedRings,1.0
NumValenceElectrons,360.0
RingCount,11.0
TPSA,151.49
QED,0.04170271750856376
